@RELATION attendance_weka_ready

@ATTRIBUTE age_group {19-20,21-22,'23+','<=18'}
@ATTRIBUTE gender {female,male,other}
@ATTRIBUTE course {ba,bba,bca,bcom,bsc,btech,diploma,nursing,pharmacy}
@ATTRIBUTE year {1st_year,2nd_year,3rd_year,4th_year}
@ATTRIBUTE parent_education {graduate,high_school,no_formal,phd,post_graduate}
@ATTRIBUTE internet_access {no,yes}
@ATTRIBUTE hostel_resident {no,yes}
@ATTRIBUTE class_type {offline,online}
@ATTRIBUTE weather {cloudy,cold,hot,rainy,sunny}
@ATTRIBUTE study_hours_band {high,low,medium}
@ATTRIBUTE sleep_hours_band {good,high,low,normal}
@ATTRIBUTE travel_time_band {long,moderate,short,very_long}
@ATTRIBUTE absence_reason {festival,no_reason,none,personal_work,project_work,sick,travel}
@ATTRIBUTE attendance_status {Absent,Present}

@DATA
'<=18',male,pharmacy,1st_year,high_school,no,yes,offline,sunny,medium,good,long,none,Present
'23+',other,diploma,2nd_year,high_school,yes,yes,offline,cloudy,high,good,long,no_reason,Absent
21-22,male,bsc,3rd_year,no_formal,yes,yes,online,rainy,high,normal,very_long,none,Present
19-20,other,pharmacy,2nd_year,no_formal,yes,yes,offline,cloudy,low,good,very_long,personal_work,Absent
19-20,female,pharmacy,1st_year,no_formal,yes,yes,online,sunny,low,high,very_long,project_work,Absent
'23+',male,btech,4th_year,no_formal,yes,yes,offline,hot,high,high,long,none,Present
'<=18',female,btech,1st_year,phd,yes,no,offline,cloudy,high,low,very_long,none,Present
21-22,male,bcom,1st_year,no_formal,yes,yes,online,sunny,medium,high,moderate,none,Present
'<=18',other,nursing,2nd_year,high_school,no,yes,offline,sunny,low,low,long,project_work,Absent
'<=18',male,bca,1st_year,phd,yes,yes,online,cloudy,medium,high,long,none,Present
21-22,female,bba,3rd_year,no_formal,yes,yes,offline,rainy,high,normal,long,no_reason,Absent
'23+',male,ba,2nd_year,post_graduate,no,no,offline,sunny,low,high,long,no_reason,Absent
21-22,female,bba,4th_year,high_school,yes,no,offline,cold,low,good,very_long,none,Present
'23+',female,bca,1st_year,high_school,yes,yes,offline,sunny,high,high,short,none,Present
21-22,male,btech,2nd_year,graduate,yes,yes,offline,hot,low,good,very_long,none,Present
'23+',other,bca,3rd_year,graduate,no,yes,offline,cold,low,high,long,project_work,Absent
21-22,male,bsc,3rd_year,post_graduate,no,no,online,cold,high,normal,very_long,travel,Absent
'<=18',male,nursing,2nd_year,post_graduate,yes,yes,offline,sunny,high,good,very_long,none,Present
'23+',female,bsc,4th_year,no_formal,no,yes,offline,cloudy,medium,high,moderate,none,Present
19-20,male,btech,4th_year,no_formal,yes,no,offline,rainy,high,good,very_long,sick,Absent
21-22,female,ba,3rd_year,post_graduate,yes,no,offline,sunny,medium,high,moderate,none,Present
19-20,other,ba,3rd_year,high_school,yes,yes,online,hot,low,high,long,none,Absent
'<=18',male,bba,3rd_year,no_formal,yes,yes,online,cloudy,medium,high,moderate,none,Present
'23+',female,nursing,2nd_year,graduate,yes,yes,offline,cold,medium,good,very_long,travel,Absent
'23+',male,diploma,3rd_year,high_school,yes,yes,offline,cloudy,high,high,very_long,none,Present
21-22,male,ba,4th_year,phd,yes,yes,offline,hot,low,high,long,none,Present
19-20,male,diploma,1st_year,phd,yes,no,online,cloudy,low,low,short,none,Present
'23+',male,bba,1st_year,no_formal,no,yes,offline,rainy,high,good,short,none,Present
21-22,female,bcom,2nd_year,post_graduate,yes,yes,offline,hot,high,normal,long,none,Present
19-20,other,btech,3rd_year,phd,yes,no,offline,hot,low,low,long,none,Present
19-20,other,btech,1st_year,post_graduate,yes,no,offline,rainy,high,normal,very_long,none,Present
'<=18',male,bcom,3rd_year,post_graduate,yes,no,offline,cold,high,good,long,none,Absent
'<=18',other,nursing,1st_year,graduate,yes,yes,offline,hot,high,low,very_long,none,Present
21-22,female,bba,1st_year,graduate,yes,no,offline,sunny,low,low,very_long,festival,Absent
'23+',female,bba,2nd_year,no_formal,no,yes,offline,hot,high,good,very_long,none,Present
'<=18',other,ba,1st_year,no_formal,yes,yes,offline,cold,low,low,moderate,none,Present
'23+',female,bcom,3rd_year,post_graduate,yes,no,offline,cloudy,low,normal,moderate,none,Present
'23+',male,diploma,3rd_year,graduate,yes,yes,offline,sunny,high,normal,very_long,travel,Absent
19-20,female,btech,3rd_year,no_formal,yes,no,offline,rainy,high,low,very_long,sick,Absent
21-22,other,bca,3rd_year,high_school,yes,no,online,cloudy,medium,low,moderate,none,Present
'<=18',other,pharmacy,3rd_year,post_graduate,yes,no,online,cold,high,low,long,none,Absent
'23+',male,nursing,3rd_year,no_formal,no,yes,offline,sunny,high,normal,long,none,Present
21-22,other,ba,3rd_year,high_school,yes,yes,offline,hot,low,high,moderate,none,Present
19-20,male,nursing,1st_year,phd,yes,no,offline,sunny,low,normal,moderate,no_reason,Absent
'<=18',other,bcom,3rd_year,graduate,yes,yes,offline,cloudy,medium,high,moderate,none,Present
'23+',male,bcom,1st_year,graduate,yes,yes,offline,hot,low,normal,moderate,festival,Absent
19-20,male,ba,1st_year,no_formal,yes,yes,offline,cold,medium,normal,long,none,Present
'23+',other,btech,4th_year,no_formal,yes,yes,offline,cold,medium,normal,very_long,none,Present
21-22,female,bcom,1st_year,post_graduate,yes,yes,offline,rainy,medium,normal,moderate,festival,Absent
'23+',male,nursing,1st_year,high_school,yes,yes,offline,rainy,high,high,very_long,none,Present
'23+',male,diploma,2nd_year,high_school,yes,no,online,sunny,high,high,long,none,Present
'<=18',male,bcom,4th_year,no_formal,yes,yes,offline,cold,medium,normal,long,none,Present
19-20,male,bcom,4th_year,post_graduate,yes,no,offline,hot,high,normal,very_long,none,Present
19-20,other,ba,3rd_year,phd,no,no,offline,sunny,medium,low,very_long,personal_work,Absent
19-20,male,bsc,1st_year,high_school,yes,no,offline,cloudy,medium,normal,long,none,Present
'<=18',male,bsc,3rd_year,high_school,yes,yes,offline,hot,high,normal,moderate,project_work,Absent
21-22,other,pharmacy,4th_year,post_graduate,yes,no,offline,sunny,low,normal,short,none,Present
'<=18',other,diploma,2nd_year,graduate,yes,yes,offline,rainy,medium,normal,short,travel,Absent
21-22,male,diploma,2nd_year,post_graduate,no,no,online,cold,high,high,very_long,none,Present
